VideoID,FStart,FEnd,Caption,Video_Duration,COS
-_aaMGK6GGw_57_61,0,3,A man grabbed a young boy from his collar and threw him on a chair while a woman was standing beside.,4,2
-_aaMGK6GGw_57_61,3,4,A woman is waking up a man sleeping on a chair and checks his wrist.,4,2
-_hbPLsZvvo_5_8,0,1,A dog is barking and cooking with dog is written.,3,2
-_hbPLsZvvo_5_8,1,3,A lady is standing in a kitchen with a dog beside her and tells today we are cooking bento using a cute bento box.,3,2
-_hbPLsZvvo_18_25,0,5,A person cuts a zucchini into small pieces and then thin slices.,7,2
-_hbPLsZvvo_18_25,5,7,"and puts in a bowl, adds some salt and mixes it well.",7,2
-_hbPLsZvvo_18_25,0,3,A woman cuts a cucumber lengthwise.,6,2
-_hbPLsZvvo_18_25,3,6,and puts the pieces in a bowl and then adds some salt to it and mixes it well.,6,2
-_hbPLsZvvo_19_26,0,2,A person cuts a cucumber lengthwise.,7,3
-_hbPLsZvvo_19_26,2,6,and puts the pieces in a bowl and then adds some salt to it and mixes it well.,7,3
-_hbPLsZvvo_19_26,6,7,and is cutting a half potato with a knife while a dog is standing beside her.,7,3
-_hbPLsZvvo_43_55,0,5,A woman is cutting an end of carrot into thin slices.,12,3
-_hbPLsZvvo_43_55,5,8,She is cutting some spinach,12,3
-_hbPLsZvvo_43_55,8,12,and a mango slice.,12,3
-_hbPLsZvvo_49_55,0,2,A woman is cutting a carrot into diced pieces.,6,3
-_hbPLsZvvo_49_55,2,4,She is cutting some spinach,6,3
-_hbPLsZvvo_49_55,4,6,and a mango slice into two halves.,6,3
-_hbPLsZvvo_172_179,0,6,A woman is mixing some ingredients with the vegetables in a bowl using a spatula.,7,2
-_hbPLsZvvo_172_179,6,7,and is soaking the water from cucumber pieces using a tissue.,7,2
-_hbPLsZvvo_211_219,0,6,A woman is pouring an egg batter into a frying pan.,8,2
-_hbPLsZvvo_211_219,6,8,and making an egg roll by stuffing vegetables in it on a pan.,8,2
-_hbPLsZvvo_269_275,0,3,A woman is frying vegetables and is arranging them in a tray.,6,2
-_hbPLsZvvo_269_275,3,6,and coating the fried vegetables in a batter and is keeping them in a bowl.,6,2
-_hbPLsZvvo_288_305,0,5,A woman is making rice balls.,17,3
-_hbPLsZvvo_288_305,5,15,and coating them with different materials.,17,3
-_hbPLsZvvo_288_305,15,17,She is decorating sushis in a tray.,17,3
-_hbPLsZvvo_323_328,0,3,A woman is decorating sushis.,5,2
-_hbPLsZvvo_323_328,3,5,and arranging yellow sushis in a tray.,5,2
_0nX-El-ySo_83_93,0,10,A man is cutting a paper along the folds with a scissor.,10,1
_1vy2HIN60A_32_40,0,4,A man is trapping a wallaby in a cloth bag.,8,2
_1vy2HIN60A_32_40,4,8,and walking with a wallaby inside a cloth bag.,8,2
_6OTzzK7t9Y_73_78,0,5,A man is making a batter using flour in a bowl with a whisker.,12,2
_6OTzzK7t9Y_158_170,0,12,A man is playing a white piano.,12,2
_7nP9z6T9m8_11_17,0,3,A man is driving a bicycle along the roadside.,6,2
_7nP9z6T9m8_11_17,3,6,and gets hit by a board.,6,2
_9iG5Ge01PM_3_11,0,8,A cat is sleeping.,8,1
_JorUS-8Nlg_63_73,0,10,A group of people is travelling on a truck.,10,1
_JVxurtGIhI_32_42,0,10,A woman is singing while holding a microphone on a stage.,10,1
_KMoC6ZdeXs_10_16,0,6,A young man is playing guitar sitting in his room.,6,1
_o1UXSxTjfo_68_80,0,12,A bald man is talking and selling things packed in a bag to a crowd of people that surrounds him.,12,1
_o1UXSxTjfo_68_80,1,2,"A woman buys a bag from the man, smiles, and walks away.",12,2
_o1UXSxTjfo_68_80,2,5,Another young man is talking to the seller while looking down.,12,2
_O9kWD8nuRU_16_23,0,3,A woman is cutting a carrot into small pieces using a knife.,7,3
_O9kWD8nuRU_16_23,3,4,She is standing in the kitchen along with a poodle dog at the counter.,7,3
_O9kWD8nuRU_16_23,4,7,She is cutting bamboo shoots into smaller pieces.,7,3
_O9kWD8nuRU_25_35,0,4,A woman is cutting bamboo shoots into smaller pieces.,10,4
_O9kWD8nuRU_25_35,4,5,She is standing in the kitchen along with a poodle dog at the counter.,10,4
_O9kWD8nuRU_25_35,5,8,She is slicing lotus leaves into squares.,10,4
_O9kWD8nuRU_25_35,8,10,She is peeling potatoes using a peeler.,10,4
_O9kWD8nuRU_37_43,0,2,She is slicing lotus leaves into squares.,6,3
_O9kWD8nuRU_37_43,2,5,She is peeling potatoes using a peeler.,6,3
_O9kWD8nuRU_37_43,5,6,Cutting potatoes lengthwise.,6,3
_O9kWD8nuRU_45_49,0,1,A woman is peeling potatoes using a peeler.,4,2
_O9kWD8nuRU_45_49,1,4,She is cutting peeled potato into smaller pieces.,4,2
_O9kWD8nuRU_50_56,0,3,A woman is cutting a potato into smaller pieces.,6,3
_O9kWD8nuRU_50_56,3,5,She poured a liquid into a bowl of water and is mixing it.,6,3
_O9kWD8nuRU_50_56,5,6,Puts the potato pieces into the bowl of water.,6,3
